事業所番号,事業所名,ふりがな,法人名,法人番号,都道府県,市区町村,住所,緯度,経度,電話番号,FAX,URL,提供サービス,定員_就労移行支援,定員_就労継続支援Ａ型,定員_就労継続支援Ｂ型,定員_就労定着支援,定員_就労選択支援,生産活動,平均工賃月額,工賃の年度,工賃のサービス種別,工賃の突合方法,工賃の出典,掲載状況,初出スナップショット,最終確認スナップショット,指定機関,データ基準,基本情報の出典,内部ID
0116000035,ワークトピアあすか三笠,わーくとぴああすかみかさ,社会福祉法人　明日佳,6430005003635,北海道,三笠市,北海道三笠市幾春別栗丘町１６番４,43.2568125,141.9499829,01267-6-7500,01267-6-7500,http://asuka-sw.jp/,,,,,,,,,,,,,最新データに掲載なし,202111,202203,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,ff6d5fd3381ed746
0116000043,ワークトピアあすか三笠,わーくとぴああすかみかさ,社会福祉法人　明日佳,6430005003635,北海道,三笠市,北海道三笠市幾春別栗丘町16番4,43.25681207,141.94998313,01267-6-7500,,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202209,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,4db17b07ebef29d9
0116000068,就労継続支援B型事業所CANOW,しゅうろうけいぞくしえんびーがたじぎょうしょかなう,株式会社iーTAK,6430001090999,北海道,三笠市,北海道三笠市幾春別町2丁目122番地,43.26219505,141.95564122,01267-3-7391,,,就労継続支援Ｂ型,,,20,,,"小物雑貨・生活用品,清掃・施設管理,農業",21350,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,9ed48119709ef601
0113201099,就労支援事業所　TOMO,しゅうろうしえんじぎょうしょとも,株式会社　川島総合サービス,8450001007891,北海道,上川郡下川町,北海道上川郡下川町旭町１８,44.30292216,142.63976292,01655-4-4588,01655-4-3531,,就労継続支援Ｂ型,,,20,,,"その他物品,清掃・施設管理",8840,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,1c878bdb24414601
0113200786,ワークショップ風,わーくしょっぷかぜ,社会福祉法人　剣渕北斗会,8450005002633,北海道,上川郡剣淵町,北海道上川郡剣淵町仲町７番１号,44.09854323,142.36398934,0165-34-2620,0165-34-2620,http://k-hokutokai.com/,就労継続支援Ｂ型,,,20,,,"その他物品,食品・飲料,飲食店運営",30757,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,ee7d425a570a07f6
0113200786,農産加工科,のうさんかこうか,社会福祉法人　剣渕北斗会,8450005002633,北海道,上川郡剣淵町,北海道上川郡剣淵町西原町２６３９番地,44.14020386,142.31941257,0165-34-2466,0166-34-3733,http://k-hokutokai.com/,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,b995bac3358a5b9c
0113100796,さぽーとカラフル,さぽーとからふる,合同会社　カラフル,450003001819,北海道,上川郡当麻町,北海道上川郡当麻町宇園別2区,43.83593264,142.4830418,0166-56-1524,0166-56-1524,,就労継続支援Ｂ型,,,20,,,"その他サービス,食品・飲料",14030,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202403,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,24f1e4eb19ea8466
0113100259,ギャラリーかたるべプラス,ぎゃらりーかたるべぷらす,社会福祉法人　当麻かたるべの森,6450005000267,北海道,上川郡当麻町,北海道上川郡当麻町五条東３丁目７番２５号,43.83051564,142.52334421,0166-58-8070,0166-84-5352,,就労継続支援Ｂ型,,,,,,"小物雑貨・生活用品,製菓・パン",20164,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202403,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,b86d4a963aaa43df
0113100713,ワークショップ　さんれっど,わーくしょっぷさんれっど,合同会社まっかなタイヨウ,3450003001633,北海道,上川郡当麻町,北海道上川郡当麻町3条西３丁目12-18ワークショップさんれっど,43.82622384,142.51079818,0166-76-1753,0166-74-7382,https://www.work-shop-sanred.com/,就労継続支援Ｂ型,,,40,,,"その他サービス,小物雑貨・生活用品",41160,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,afd8a5eb21463c5e
0113100721,障がい福祉事業所ていすと,しょうがいふくしじぎょうしょていすと,株式会社スピリッツスタイル,450001010728,北海道,上川郡当麻町,北海道上川郡当麻町宇園別３区,43.85990579,142.49988052,0166-56-9199,0166-56-9199,,就労継続支援Ｂ型,,,,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,f9019f4e27dcc3ad
0113100432,障がい福祉サービス事業所　あいねっと,しょうがいふくしさーびすぎょうじょあいねっと,特定非営利活動法人　あいねっと,8450005003697,北海道,上川郡愛別町,北海道上川郡愛別町南町２９番地２６号,43.90544468,142.57350951,01658-9-8787,01658-9-8788,http://npo-ainet.org/,就労継続支援Ｂ型,,,13,,,"クリーニング,清掃・施設管理,製菓・パン",17493,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,fd7a0ab08c4c8d2e
0114700693,わかふじワークセンター,わかふじわーくせんたー,社会福祉法人　厚生協会,6460105001321,北海道,上川郡新得町,北海道上川郡新得町西三条北１丁目５番地３,43.08057891,142.8226679,0156-64-5001,0156-64-5522,http://www.wakafuji.ne.jp/,就労継続支援Ｂ型,,,40,,,"その他物品,食品・飲料",54634,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,3fe9af3b51fd402b
0114700669,わかふじ寮,わかふじりょう,社会福祉法人　厚生協会,6460105001321,北海道,上川郡新得町,北海道上川郡新得町西三条北１丁目５番地３,43.08057891,142.8226679,0156-64-5001,0156-64-5522,https://www.wakafuji.or.jp/,就労継続支援Ｂ型,,,20,,,"その他物品,食品・飲料",44195,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,311eecaaf96b2a65
