事業所番号,事業所名,都道府県,市区町村,サービス種別,定員,平日,土曜,日曜,祝日,定休日,備考,掲載状況,初出,最終確認,内部ID
0116000035,ワークトピアあすか三笠,北海道,三笠市,就労継続支援Ａ型,20,09:00-16:00,09:00-16:00,,09:00-16:00,日曜日、年末年始休暇,,掲載なし,202111,202203,ff6d5fd3381ed746
0116000043,ワークトピアあすか三笠,北海道,三笠市,就労継続支援Ｂ型,20,09:00-16:00,,,,土日祝日、夏季休暇(8月13日〜15日）及び年末年始(12月30日〜1月3日）,土日祝日、夏季休暇(8月13日〜15日）及び年末年始(12月30日〜1月3日）,掲載あり,202209,202603,4db17b07ebef29d9
0116000068,就労継続支援B型事業所CANOW,北海道,三笠市,就労継続支援Ｂ型,20,09:00-15:00,09:00-12:00,,,日曜日、祝日　祝日がない月は土曜日で補てん,,掲載あり,202409,202603,9ed48119709ef601
0113201099,就労支援事業所　TOMO,北海道,上川郡下川町,就労継続支援Ｂ型,20,09:30-16:00,,,,土日祝,,掲載あり,202409,202603,1c878bdb24414601
0113200786,ワークショップ風,北海道,上川郡剣淵町,就労継続支援Ｂ型,20,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,事業所が計画で定めた日,,掲載あり,202111,202603,ee7d425a570a07f6
0113200786,農産加工科,北海道,上川郡剣淵町,就労継続支援Ｂ型,20,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,掲載あり,202111,202603,b995bac3358a5b9c
0113100796,さぽーとカラフル,北海道,上川郡当麻町,就労継続支援Ｂ型,20,10:00-15:00,10:00-12:45,,10:00-11:45,日曜日、年末年始、夏季休暇、土曜日及び祝日は事業所カレンダーによる,,掲載あり,202403,202603,24f1e4eb19ea8466
0113100259,ギャラリーかたるべプラス,北海道,上川郡当麻町,就労継続支援Ｂ型,,,,,,,,掲載あり,202403,202603,b86d4a963aaa43df
0113100713,ワークショップ　さんれっど,北海道,上川郡当麻町,就労継続支援Ｂ型,40,10:00-15:00,00:00-00:00,00:00-00:00,10:00-15:00,土曜日、日曜日,その他、冬季、天候により利用時間の変更あり,掲載あり,202111,202603,afd8a5eb21463c5e
0113100721,障がい福祉事業所ていすと,北海道,上川郡当麻町,就労継続支援Ｂ型,,,,,,,,掲載あり,202111,202603,f9019f4e27dcc3ad
0113100432,障がい福祉サービス事業所　あいねっと,北海道,上川郡愛別町,就労継続支援Ｂ型,13,09:00-17:30,,,09:00-17:30,土・日曜日　年末年始,土・日曜日　年末年始,掲載あり,202111,202603,fd7a0ab08c4c8d2e
0114700693,わかふじワークセンター,北海道,上川郡新得町,就労継続支援Ｂ型,40,08:30-17:00,08:30-12:00,,,日曜日・祝日,なし,掲載あり,202111,202603,3fe9af3b51fd402b
0114700669,わかふじ寮,北海道,上川郡新得町,就労継続支援Ｂ型,20,08:30-17:00,08:30-12:00,,,日曜日・祝日,なし,掲載あり,202111,202603,311eecaaf96b2a65
0114702046,ココロコ十勝,北海道,上川郡新得町,就労継続支援Ａ型,10,10:00-15:00,10:00-15:00,,,日曜日、祝日、年末年始,施設外就労先の事情で職員が対応できる場合はこの限りではない,掲載なし,202209,202503,16c1951ad6536ccb
0114702046,ココロコ十勝,北海道,上川郡新得町,就労継続支援Ｂ型,10,10:00-15:00,10:00-15:00,,,日曜日、祝日,施設外就労先等の事情で職員が対応できる場合はこの限りではない,掲載あり,202209,202603,16c1951ad6536ccb
0113100549,はぴふる,北海道,上川郡東川町,就労継続支援Ｂ型,20,09:30-16:00,09:30-12:00,,,日曜日・祝祭日,年末年始は休業　お盆休みは今現在なし。GWの連休は難しく別日に振替ての休みとなる,掲載あり,202111,202603,c5e3303a781d4a7c
0113100598,サンフレンズ旭川,北海道,上川郡東川町,就労継続支援Ａ型,20,09:00-16:00,09:00-16:00,,,日曜日・祝日と会社カレンダーの土曜日　　（月8回）,,掲載あり,202111,202603,6274e78c1e4afe7a
0113100648,ワークステーション　翼　就労継続支援Ｂ型事業所,北海道,上川郡東川町,就労継続支援Ｂ型,20,10:00-15:30,,,10:00-14:00,土曜　日曜,,掲載なし,202111,202309,bdfdc95d913d9071
0113100820,就労継続支援施設　わくらば,北海道,上川郡東川町,就労継続支援Ａ型,,,,,,,,掲載あり,202409,202603,a3208ef37d45859b
0113100820,就労継続支援施設　わくらば,北海道,上川郡東川町,就労継続支援Ｂ型,,,,,,,,掲載あり,202409,202603,a3208ef37d45859b
0113100846,東川リード,北海道,上川郡東川町,就労継続支援Ｂ型,20,10:00-17:00,,,10:00-14:00,土曜・日曜,,掲載あり,202409,202603,095176ccb5af6687
0112900139,ゆい・ゆい本舗,北海道,上川郡東神楽町,就労継続支援Ｂ型,20,09:30-16:30,09:30-16:30,09:30-16:30,09:30-16:30,日曜日,,掲載あり,202111,202603,4996affb59024756
0113100804,クリエイト,北海道,上川郡東神楽町,就労継続支援Ｂ型,20,10:15-15:15,10:15-13:00,,10:15-13:00,基本　土・日・祝　定休日,,掲載あり,202111,202603,3f7d85ec6addbace
0113100333,ケンセイシャレバレッジ,北海道,上川郡東神楽町,就労移行支援,,,,,,,,掲載あり,202203,202603,2e7eb94bb513c227
