都道府県,年度,サービス種別,資料上の事業所名,資料上の法人名,資料上の市区町村,事業所番号,法人番号,定員,対象者延人数,工賃支払総額,平均工賃月額,突合できたか,突合方法,突合先の事業所名,突合先の市区町村,出典,内部ID
北海道,2024年度,就労継続支援Ａ型,札幌福祉印刷,,札幌市,,,18,204,38152201,187021,未突合,unmatched,,,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,2024年度,就労継続支援Ａ型,リハビリーおおぞら,,北広島市,,,34,352,62831778,178499,未突合,unmatched,,,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,2024年度,就労継続支援Ａ型,リハビリー・クリーナース,,北広島市,,,15,198,34641505,174957,突合済み,pref+city+name,リハビリー・クリーナース,北広島市,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,3cb90956abccae82
北海道,2024年度,就労継続支援Ａ型,光生舎フロンティア,,札幌市,,,40,723,121645132,168251,突合済み,pref+city+name,光生舎フロンティア,札幌市西区,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,866231e5602c1763
北海道,2024年度,就労継続支援Ａ型,光生舎く・る・る,,札幌市,,,20,120,20071322,167261,突合済み,pref+city+name,光生舎く・る・る,札幌市厚別区,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,5362bfe8433edf7b
北海道,2024年度,就労継続支援Ａ型,障害福祉サービス事業所K・P１,,岩見沢市,,,30,251,40130477,159882,未突合,unmatched,,,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,2024年度,就労継続支援Ａ型,チーム紅蓮Ａ,,旭川市,,,10,48,7656115,159502,突合済み,pref+city+name,チーム紅蓮Ａ,旭川市,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,9127fc68446c5a10
北海道,2024年度,就労継続支援Ａ型,光生舎ライト・プラザ,,赤平市,,,15,177,28091977,158712,突合済み,pref+city+name,光生舎ライト・プラザ,赤平市,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,d5e6932e15f6aa4e
北海道,2024年度,就労継続支援Ａ型,セルプさっぽろ,,札幌市,,,10,84,13139130,156418,突合済み,pref+city+name,セルプさっぽろ,札幌市豊平区,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,7e0e7d88d4a925d9
北海道,2024年度,就労継続支援Ａ型,光生舎エルム・ソーイング,,赤平市,,,10,141,21957187,155725,突合済み,pref+city+name,光生舎エルム・ソーイング,赤平市,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,896c8bc4b2cdc431
