都道府県,分類,資料上の表記,資料上の事業所名,製品・サービスの内容,事業所番号,突合できたか,突合方法,突合先の事業所名,突合先の市区町村,出所,資料名,出典,内部ID
北海道,その他サービス,その他サービス・役務,Biei-BASE,,0113100788,突合済み,pref+city+name,Ｂｉｅｉ−ＢＡＳＥ,上川郡美瑛町,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,3cc22e6641f232ab
北海道,その他サービス,その他サービス・役務,Branch for pro,,0110103280,突合済み,pref+city+name,ｂｒａｎｃｈ　ｆｏｒ　ｐｒｏ,札幌市中央区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,944b6bad69cf07e2
北海道,その他サービス,その他サービス・役務,B型事業所ふぁんふぁん,,0110205846,突合済み,pref+city+name,B型事業所　ふぁんふぁん,札幌市東区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,3e8b4402e136ed53
北海道,その他サービス,その他サービス・役務,B型事業所りあん,,0110503844,突合済み,pref+city+name,B型事業所りあん,札幌市白石区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,dd49df49c593aac2
北海道,その他サービス,その他サービス・役務,ChipS Life,,0114602477,突合済み,pref+city+name,ChipS Life,帯広市,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,d3dfb0bd2a89d2a7
北海道,その他サービス,その他サービス・役務,D.Factory,,0110301918,突合済み,pref+city+name,Ｄ．Ｆａｃｔｏｒｙ,札幌市東区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,24c4bbf497d03750
北海道,その他サービス,その他サービス・役務,EIGHT,,,未突合,unmatched,,,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,その他サービス,その他サービス・役務,JTSひまわり,,0110700754,突合済み,pref+city+name,ＪＴＳ　ひまわり,札幌市西区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,b9a7a0ee51e522dc
北海道,その他サービス,その他サービス・役務,LIGHTSTAR,,,未突合,unmatched,,,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,その他サービス,その他サービス・役務,LOG,,,未突合,unmatched,,,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,
北海道,その他サービス,その他サービス・役務,Lifeサポートピアハーブ,,0111100541,突合済み,pref+city+name,Lifeサポートピアハーブ,千歳市,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,f8dcb160d2b467b4
北海道,その他サービス,その他サービス・役務,Lilas,,0110205036,突合済み,pref+city+name,Ｌｉｌａｓ,札幌市北区,公表データ,北海道 工賃実績（主な作業内容）,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,63894a8b194d4bb4
